title,url,source,date,content
No time for niceties: David Cameron in hurry to make mark on world stage,https://www.theguardian.com/politics/2024/feb/15/a-man-in-a-hurry-david-cameron-dispenses-with-diplomatic-niceties-in-quest-to-make-a-mark-on-the-world-stage,Guardian,2024-02-15T15:10:17Z,
‘Polar express’: passengers hit out at cold conditions on Scottish train line,https://www.theguardian.com/uk-news/2024/feb/15/polar-express-passengers-hit-out-over-cold-conditions-on-scottish-train-line,Guardian,2024-02-15T15:08:24Z,
‘Like a rural Scarface’: Hollywood star Kyle MacLachlan’s wild discovery of Pablo Escobar’s secret town,https://www.theguardian.com/tv-and-radio/2024/feb/15/kyle-maclachlan-pablo-escobar-secret-town-varnamtown,Guardian,2024-02-15T15:08:14Z,
Rishi Sunak’s promise to grow the economy ‘in tatters’ as UK enters technical recession – as it happened,https://www.theguardian.com/business/live/2024/feb/15/uk-gdp-report-economy-growth-stagnation-technical-recession-jeremy-hunt-rachel-reeves-business-live,Guardian,2024-02-15T15:07:37Z,
England left rueing missed reviews as Sharma and Jadeja escape,https://www.theguardian.com/sport/2024/feb/15/england-philosophical-over-tech-issues-as-missed-reviews-prove-costly-first-test-cricket-india,Guardian,2024-02-15T15:03:56Z,
Pryzm nightclub boss blames closures on students cutting back,https://www.theguardian.com/business/2024/feb/15/pryzm-nightclub-boss-blames-closures-on-students-cutting-back-living-costs-rekom,Guardian,2024-02-15T15:03:03Z,
"Laura van der Heijden, Jâms Coleman: Path to the Moon album review – intriguing and beguiling",https://www.theguardian.com/music/2024/feb/15/laura-van-der-heijden-jams-coleman-path-to-the-moon-album-review-intriguing-and-beguiling,Guardian,2024-02-15T15:00:18Z,
Fewer people than ever will receive a Covid booster this spring. The UK needs a new strategy | Sheena Cruickshank,https://www.theguardian.com/commentisfree/2024/feb/15/covid-booster-jabs-campaign-spring-2024-uk,Guardian,2024-02-15T15:00:17Z,
Jazz composer Maria Schneider: ‘David Bowie cracked me – maybe not in a good way’,https://www.theguardian.com/music/2024/feb/15/jazz-composer-maria-schneider-david-bowie-cracked-me-maybe-not-in-a-good-way,Guardian,2024-02-15T15:00:17Z,
UK tips into recession in blow to Rishi Sunak,https://www.theguardian.com/business/2024/feb/15/uk-recession-consumers-cut-spending-gdp,Guardian,2024-02-15T14:32:06Z,
Hackers got nearly 7 million people’s data from 23andMe. The firm blamed users in ‘very dumb’ move,https://www.theguardian.com/technology/2024/feb/15/23andme-hack-data-genetic-data-selling-response,Guardian,2024-02-15T14:26:22Z,
The Gap review – Denise Welch and Matthew Kelly swing low in 60s Soho,https://www.theguardian.com/stage/2024/feb/15/the-gap-review-hope-mill-theatre-manchester,Guardian,2024-02-15T14:25:13Z,
Shocked that Pontins put Irish Travellers on a secret blacklist? They're far from the only ones | Ben Smoke,https://www.theguardian.com/commentisfree/2024/feb/15/pontins-irish-travellers-blacklist-hatred-britain,Guardian,2024-02-15T14:18:22Z,
Sheridan Smith says ADHD diagnosis helped her ‘make sense of a lot of things’,https://www.theguardian.com/culture/2024/feb/15/sheridan-smith-says-adhd-diagnosis-helped-her-make-sense-of-a-lot-of-things,Guardian,2024-02-15T14:17:31Z,
Cat lost for four years turns up over 150 miles from Northern Ireland home,https://www.theguardian.com/lifeandstyle/2024/feb/15/cat-lost-four-years-miles-northern-ireland-home-blueberry,Guardian,2024-02-15T14:16:25Z,
"LGBTQ+ representation in video games lags behind film and TV, report finds",https://www.theguardian.com/games/2024/feb/15/lgbtq-representation-in-video-games-glaad-survey,Guardian,2024-02-15T14:15:16Z,
"Middle East crisis, Ukraine and far right combine to disrupt Berlin film festival ",https://www.theguardian.com/film/2024/feb/15/middle-east-crisis-ukraine-and-far-right-combine-to-disrupt-berlin-film-festival,Guardian,2024-02-15T14:14:08Z,
"Greens’ plan to axe tax concessions would see house prices fall, Max Chandler-Mather says",https://www.theguardian.com/australia-news/2024/feb/16/greens-are-targeting-tax-breaks-for-investors-to-make-buying-a-home-affordable-for-renters-max-chandler-mather-says,Guardian,2024-02-15T14:00:20Z,
Groovin the Moo festival’s cancellation is expected to have a ‘profound ripple effect’. So what went wrong?,https://www.theguardian.com/culture/2024/feb/16/groovin-the-moo-festival-cancellation-bendigo-canberra-gza,Guardian,2024-02-15T14:00:19Z,
Basketball boom: NBL closes gap on rivals with family fun and community focus | Jack Snape,https://www.theguardian.com/sport/2024/feb/16/basketball-boom-nbl-closes-gap-on-rivals-with-family-fun-and-community-focus,Guardian,2024-02-15T14:00:19Z,
